Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
YWHAQ	21.44294	22.25911	20.37369	21.1128	20.62391	15.61892	21.16392	21.50625	21.6781	21.94639	21.23204	22.616	21.93758	22.29664	20.86876	23.05598	22.2138	21.95546
PSMB8	20.15277	20.94714	20.05669	19.4007	21.33374	18.94727	20.32795	21.23152	20.44587	21.28811	21.41761	21.6608	21.31833	20.56412	21.97809	20.93344	20.74903	21.53227
CRABP2	22.21872	20.32915	23.28306	22.6776	22.16818	20.79828	21.07751	23.50203	21.81405	16.24894	19.29683	23.2059	23.0183	19.17312	21.88009	24.85343	19.27896	21.87879
PRDX5	20.94864	20.28805	19.42556	20.8198	21.56118	21.03181	20.7567	21.79796	18.43294	21.49595	18.23902	20.78628	20.42327	21.5981	20.98933	21.17005	18.21542	21.36041
SRP14	20.12981	16.24735	19.24533	20.33232	21.02466	20.36399	19.69038	21.15567	20.52631	18.19364	20.58527	20.5656	18.75942	20.18906	20.05762	20.47259	20.47398	17.44135
DAP	21.08589	20.01209	20.81151	18.94289	19.76503	20.29075	20.57727	19.36297	19.34449	20.68517	19.59377	19.71647	20.27139	21.17353	21.01304	21.11972	20.98266	20.27253
ARHGDIB	20.85643	20.13132	20.29424	19.3085	21.7628	17.26742	21.56746	21.18392	21.46782	21.96575	21.31838	22.74257	22.44372	21.26922	21.66648	21.46633	21.12786	20.92397
NUTF2	21.05179	16.94712	20.26671	19.94521	21.28619	21.0932	20.41256	20.94885	21.25442	21.09661	20.52831	21.19689	21.29844	22.21232	20.78532	21.0857	19.54625	21.59117
MRPS36	19.91347	20.17231	19.84063	15.80197	19.5899	19.45545	20.09275	20.59651	19.64941	20.30497	20.293	19.82724	20.33952	19.95077	20.11172	18.50234	19.35875	17.45753
PRDX4	20.22176	20.38638	19.24679	20.93833	19.68488	15.04922	20.01645	19.38201	19.90806	20.27844	21.90216	21.23585	19.93287	21.04287	20.81987	20.67409	21.29804	21.11388
TSTA3	20.95582	20.85825	19.61029	19.91083	20.50514	19.59671	21.84812	20.59587	20.49775	20.9719	20.83036	20.14979	21.42701	20.06513	19.97295	20.67064	20.19027	20.87395
EIF4A2	17.22934	20.88159	20.37156	19.97855	19.48654	20.37061	20.13571	21.46812	21.48974	21.86386	20.54123	21.4834	19.53913	18.38974	19.53642	21.19238	19.74652	20.2018
PLEC	20.73265	21.73934	20.90478	22.12373	19.66272	20.93106	20.00498	20.7409	16.53133	20.02985	20.44314	18.27271	19.73326	16.33242	19.94678	20.66856	19.56709	18.17514
TOMM6	16.04302	18.91751	19.62442	18.1801	18.89782	20.95985	19.43742	19.48515	20.62185	19.88015	19.10613	19.90966	20.11984	19.38216	20.42193	20.1841	18.87144	19.03276
HNRNPAB	20.25234	20.31374	20.07091	22.27608	21.15956	19.8222	19.46208	21.21235	20.01808	21.23292	19.48227	22.34911	20.86053	22.18417	19.93031	20.75524	22.24464	21.20347
WIBG	20.50678	19.83254	19.74238	19.44918	20.79788	19.67867	20.03228	21.07868	20.1038	19.98982	17.68768	20.16214	20.77016	20.90954	19.81008	19.41943	20.00703	19.70322
TMEM43	20.60829	22.1013	19.75362	21.35574	19.61412	15.38244	19.85989	19.75349	20.73851	18.81763	21.00785	18.5867	20.03456	19.80999	20.68534	20.35014	20.62605	18.93238
PSMB9	20.03577	16.04095	20.34624	19.49299	20.56076	20.66249	20.13483	21.64843	19.8148	19.84373	21.51615	21.8714	19.69963	21.51147	22.05857	21.40447	21.39493	19.54904
COPE	21.69604	20.67375	19.55757	21.15931	20.48827	17.10238	22.01574	20.80444	21.47254	19.28906	21.00141	21.47927	18.8076	22.02158	21.67741	22.10242	21.24743	18.24952
MAPK1	20.53953	20.09404	20.57773	21.09584	21.46428	20.7708	20.8726	20.58472	20.83391	20.81878	20.47813	21.16601	20.40976	20.87125	21.31302	21.30474	19.60284	21.33696
MATR3	21.3297	21.53127	16.98016	22.55777	21.81765	22.07232	21.79745	20.98683	22.163	22.38176	19.37941	21.95514	22.75835	21.2715	21.00956	20.09417	22.51109	21.58385
ANXA7	20.32981	20.04554	20.24191	20.84537	21.16674	19.78808	19.4942	20.63165	18.32567	18.68616	19.15175	20.08926	17.66934	17.3475	18.24711	19.90846	21.39807	18.20132
CS	21.52449	22.09549	22.38482	22.04434	21.41018	20.30686	21.06441	22.73167	21.7496	21.10156	21.95088	21.77696	21.95319	22.29681	21.81527	22.26055	22.79186	23.06919
KNG1	20.29961	20.2976	22.603	19.90644	19.42263	21.29075	20.45443	20.84705	20.8226	20.15264	20.29379	20.31063	20.72192	20.04206	20.01414	19.76754	19.49035	21.06289
EIF4B	20.53155	20.39215	19.73617	20.32202	19.78126	16.04054	18.86251	20.1514	20.92027	20.51557	19.39519	20.17633	20.64077	20.54793	19.98287	20.26304	20.95049	21.5197
ANXA11	21.10955	20.37592	20.89178	21.35638	21.21199	20.26625	20.34505	20.13596	20.02499	19.77346	19.54616	20.48286	19.03308	19.94906	20.27378	21.29041	21.61495	21.16005
FUBP1	20.94585	22.42327	20.39111	21.43375	22.70523	21.95674	22.48124	21.61077	22.63825	22.3943	20.88039	23.10714	22.91534	22.0764	18.92883	20.79186	22.36078	23.12657
KRT5	20.7729	23.54557	21.85034	20.8665	22.63121	23.68827	21.07182	16.55698	22.92343	22.00888	21.75087	21.79618	19.07689	18.93687	22.46041	20.48444	22.97769	22.17959
PRKCSH	21.10744	21.24249	20.74862	22.94253	20.86219	18.38659	19.72166	20.51855	21.2338	21.88498	22.04487	21.91907	21.48567	22.63059	22.24583	22.35154	22.67435	22.96279
MAP4	21.16214	22.76482	22.64394	22.53015	22.66101	23.04654	20.94678	22.52819	21.88774	21.92187	22.27019	22.3581	22.63183	21.20592	21.76677	21.99666	22.64764	22.97399
CCT3	18.98846	19.99521	20.36634	22.15372	20.20753	16.85097	18.97771	21.39697	20.63227	20.52459	21.05927	22.24481	21.39817	21.71465	21.47046	22.22155	23.48493	21.94185
FN1	24.5734	22.97572	23.88846	25.09953	22.60752	24.0441	24.43663	20.93639	22.65371	22.07205	24.55953	22.4929	22.41251	22.98251	24.01776	22.4491	22.6929	23.4051
CTSB	21.78692	21.3043	21.64315	20.40302	21.8119	22.31174	22.50344	23.45249	21.95939	21.6413	22.05013	22.96251	22.17051	22.82755	24.77143	23.11434	22.56162	23.24724
AK2	21.29407	22.00415	20.63369	21.05232	21.57515	17.66029	21.63856	22.90967	22.23371	22.22706	22.20105	21.98576	22.20958	20.8326	21.5108	21.70235	23.13436	21.90863
EIF3B	18.10395	19.13581	18.68832	18.99816	19.25486	18.90789	17.69404	18.65634	18.36367	19.01501	18.35316	17.94203	19.35016	19.37568	19.02966	18.62253	17.93876	19.69826
PSMA4	19.93618	20.51788	19.62594	19.74194	19.90297	20.14607	20.83877	20.2894	20.74747	20.49101	20.06368	20.12275	20.73999	19.90711	20.6435	20.63821	20.18677	21.26253
PML	20.45202	20.55394	20.20084	21.80215	20.06487	22.10818	20.87365	19.84772	19.62715	20.45694	21.15326	21.26316	21.87688	21.65683	21.045	19.76841	21.67973	22.0711
SUMO2	19.91441	16.07273	20.51085	19.99258	21.27139	20.93531	20.17463	20.71725	20.03228	20.29749	21.0559	22.34302	21.12811	21.24545	20.95731	21.13144	21.25609	21.75038
PGRMC1	21.33445	22.74098	21.76616	20.55159	21.5909	21.59122	22.08916	20.5326	21.44546	20.77812	21.67185	21.25983	21.39545	22.27674	20.87079	21.09623	22.54324	21.93884
PSMA7	21.13176	20.86582	21.20526	21.53084	21.45749	17.70804	21.55712	22.04557	21.32559	21.08453	21.53288	22.06293	21.57321	21.82924	21.74755	22.25439	22.09342	21.986
PGRMC2	20.37836	20.63502	20.87508	19.99879	20.78852	20.42358	20.16312	19.76283	16.69878	19.98787	21.34581	20.41028	20.07549	20.59268	20.03872	21.29474	19.62235	19.4572
