Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
ACAT1	15.43309	19.5097	20.36421	19.10462	19.3617	16.95377	19.52818	19.1123	19.32142	16.98126	20.87019	20.40883	19.84256	15.89413	19.20161	18.84745	20.44496	20.36656
RPA3	19.13232	16.54321	18.36986	17.24051	20.08537	19.43427	16.83372	19.14522	16.45722	16.66317	18.81127	19.63931	16.40685	19.01163	15.78419	19.92592	16.16717	15.90842
PAFAH1B2	20.22435	17.83203	20.78732	19.9195	21.00642	17.28935	20.01645	21.12597	17.97371	16.62756	18.72577	20.09636	17.08576	19.78974	16.78591	21.23707	20.06276	18.65452
TWF2	20.37167	19.03891	18.86858	16.86219	20.4867	19.41827	18.18819	21.18259	21.23427	17.0308	20.3229	20.40997	16.07619	16.40891	20.02351	21.51494	21.97652	19.42802
ABHD11	20.64015	15.58714	19.17677	16.69683	19.91501	16.81638	19.40027	19.93503	17.2803	16.01296	20.78899	18.85118	20.19063	17.59059	16.73218	19.82836	18.50176	19.94449
GLOD4	18.10503	16.64883	15.90662	18.05372	17.81653	16.35902	15.9438	17.76643	18.67242	18.60787	17.32641	17.88953	18.07101	18.43172	18.06271	18.25114	17.65334	18.5619
MCCC2	22.02516	16.44373	17.27225	19.97014	20.77233	17.05349	21.50203	17.89321	22.50317	17.97665	16.04138	16.64295	18.46639	17.53058	16.93569	17.17638	18.5126	16.89282
MARK1	19.63663	19.95205	20.07222	18.90177	19.27321	20.6977	19.09674	17.0394	19.05804	19.30173	19.10825	18.26155	19.1106	18.76917	19.10262	16.39366	17.21652	19.12037
UBQLN1	19.62239	20.38648	16.93461	16.831	20.71749	20.21703	16.36694	16.06691	20.55431	20.12326	16.18332	20.1812	20.60856	20.63883	19.3725	20.5363	20.40072	19.43007
SERF2	18.07656	19.09213	18.79582	18.18073	18.53761	18.62599	17.56503	18.40674	18.15215	19.35574	19.70288	18.21551	19.45055	19.28134	18.77969	17.74261	17.56585	19.45006
APOD	22.81145	18.58527	22.56964	16.02923	23.18	22.20571	16.21807	20.10546	25.47886	20.38701	21.46154	19.02937	20.62756	20.3567	19.30528	18.04676	15.49045	20.49199
SUMF2	20.4289	16.32731	20.08421	16.77624	20.31794	16.774	20.11235	18.79112	19.82363	19.37494	19.70224	18.93724	20.15252	19.58584	19.60834	19.301	20.09262	19.45246
FDPS	20.41225	16.58669	19.84728	19.08504	21.46971	17.34855	19.11177	19.9583	17.10563	21.41957	20.66266	20.99921	21.56825	19.90291	16.13594	21.02634	22.60519	21.75087
PSPC1	16.05258	20.20908	17.54193	20.33843	20.90323	19.05809	18.8693	18.9983	18.94721	20.11629	18.35838	20.3443	18.85102	20.60928	16.22921	20.34354	16.71509	18.40536
COPZ1	20.65683	15.8243	16.85655	16.71422	19.62669	17.04964	16.54599	18.79598	18.86949	16.17543	19.80469	18.83732	15.64745	19.95234	17.24184	19.67078	19.9333	17.28897
MTHFD1	18.26376	17.6919	18.59127	18.13471	18.44783	16.10502	19.57102	18.75662	16.26835	20.49531	19.31075	19.37259	20.80025	19.31232	18.92445	18.72654	20.99521	19.60174
ACOT2	18.88459	20.37592	19.50154	18.701	20.7778	21.00237	18.79221	18.47596	18.67055	19.88507	16.09272	16.51143	19.92858	18.3221	20.08239	18.44366	18.64111	19.77531
PDCD5	20.154	20.67323	19.85483	17.8295	20.0355	19.69135	20.71196	20.19087	19.9031	20.95964	22.13718	21.9068	20.63032	20.96818	20.44809	20.7437	20.16828	21.45683
UGDH	21.95116	20.05006	16.26396	19.49707	19.74601	15.77157	21.22459	24.26835	15.21454	16.33675	18.92413	19.05941	17.55547	16.90582	20.38005	18.09553	18.1628	20.05709
MRPS14	17.5524	18.04356	17.5131	16.01903	17.60653	17.74682	17.7548	18.58926	18.33228	17.93802	18.32052	18.19777	17.16967	18.80864	16.01213	18.05203	17.17026	18.39737
NAT1	22.33315	21.51007	22.43278	21.60128	23.18098	21.56141	23.51713	19.11067	22.11219	16.33039	17.14212	17.77127	21.31672	16.75115	17.53344	17.22969	17.68737	17.30901
UQCRC1	19.79031	21.51489	20.48345	20.81151	19.34767	19.63591	20.13308	22.09497	20.49872	20.58288	20.95326	19.95205	21.42757	15.88253	20.77	20.51326	21.82838	20.19821
GLRX	20.20024	17.0752	20.71213	19.34752	20.04247	18.9648	16.95874	19.86777	19.29224	19.42448	19.98787	19.95262	19.57397	20.3977	20.25776	18.2433	18.35776	20.27549
EIF1	20.49091	21.41792	19.79095	19.85119	20.89037	16.52143	21.19478	20.30808	21.26029	14.85764	16.26412	20.63148	16.24189	21.87538	21.42905	21.57219	20.47902	16.64414
SARS	18.80933	19.48923	15.68532	19.84455	18.37585	16.26041	18.76341	18.91797	16.20888	18.65837	18.71897	18.30149	18.40541	19.02296	19.09016	19.08644	18.84031	18.25631
AHNAK	18.87153	18.4318	21.06861	20.85445	20.9047	21.97659	16.35264	20.17901	16.2446	15.60172	18.74373	18.06229	17.17559	15.9866	16.47317	18.85395	17.28374	14.90507
NUMA1	19.26474	20.13107	19.96	19.27955	19.59931	19.69294	19.70855	19.46453	20.52057	19.63029	19.76854	19.25364	19.20608	16.46739	16.34755	17.20138	16.29622	17.60655
CLPP	16.32054	17.38852	15.65001	17.21105	18.09094	16.75237	18.00547	18.56718	18.4005	18.23196	17.17417	20.87605	17.52726	18.39691	18.56737	20.1514	17.5852	19.14093
DTD1	18.19109	18.94392	17.3811	15.81294	16.84426	16.55103	18.05394	17.67597	18.48338	19.25454	18.02193	17.99673	17.81378	19.041	18.7181	18.42099	17.92085	19.50541
PSMB7	19.07835	17.30309	18.28044	19.2176	19.3669	15.75941	17.11858	15.71432	19.86178	19.91618	16.67417	15.74969	16.53254	20.18858	16.09417	18.74432	16.6583	16.84512
HDHD3	18.22971	18.50277	15.84783	16.95231	17.50809	15.70399	18.65246	18.41613	18.63517	17.4626	19.20027	18.52041	19.11373	18.41349	16.17538	17.86109	18.90944	15.44767
FAM129A	16.98883	16.16812	19.91191	19.22847	20.46623	20.55206	15.80025	20.59851	19.47211	19.17043	20.45493	22.18283	20.12389	20.20431	20.48483	21.9877	19.83229	20.0418
PDLIM7	20.02229	19.3607	21.36073	20.47931	15.85616	21.57163	19.93632	19.35827	16.01735	16.64398	18.74685	18.86638	18.02313	19.4712	19.03899	17.14043	17.86151	19.4262
SAMHD1	17.7508	18.6935	17.34356	19.58824	19.8532	17.79236	19.7156	20.71347	19.38755	20.96972	21.05993	22.9029	22.13993	20.85514	20.98912	20.50154	21.88125	22.28757
PFN2	18.66581	20.61243	17.32161	16.10726	19.03952	16.61488	20.25419	18.96017	19.78759	21.11401	18.39117	20.55553	20.47635	21.03738	19.03249	22.47591	20.82345	20.90014
TGFBI	20.35509	15.94928	20.46164	20.79812	20.27878	20.14681	20.91627	20.88226	16.09444	19.1254	20.17487	19.82412	19.20428	19.62817	20.20084	20.14358	18.26627	18.4612
SOD3	19.38587	21.71729	21.86774	19.50659	22.26725	22.33399	21.05643	18.36671	20.32268	20.72334	20.27526	19.20698	20.68423	16.40862	16.95807	15.91368	16.87985	18.64643
DDX5	19.90668	20.06303	15.74935	21.12022	20.89178	17.00134	18.70644	19.37651	20.91101	20.81112	17.41959	21.42491	21.21039	21.30441	19.74093	20.03308	21.94382	22.42719
EEF1B2	18.63715	18.68394	16.30204	18.81403	19.35752	17.64199	18.86478	18.65179	18.65829	19.76872	20.99866	20.41431	19.30285	19.7287	19.09558	20.06092	21.07549	21.18277
SPR	19.70396	16.12333	21.42399	20.90632	19.79973	19.43321	20.13571	21.8896	16.72746	17.17375	18.7577	19.38532	16.45394	19.45302	17.08258	19.31889	19.77981	16.09771
HNRNPH2	20.47793	15.97833	19.26717	20.79939	21.99217	19.86259	18.63329	20.9307	20.43094	17.0559	18.84049	20.67616	18.20209	19.30372	16.23211	17.35555	18.78883	19.44395
RPL36A	19.12182	17.12008	19.13388	18.87894	19.57775	17.97595	17.09228	19.56626	19.09009	20.10201	20.6206	20.6136	20.81691	18.42947	20.40665	20.12792	18.47287	21.28799
SRSF2	18.83972	19.41001	19.34221	20.0418	20.58573	21.39414	19.42947	19.99286	20.14258	19.94221	18.92291	20.896	20.73736	19.33645	19.49828	20.1561	19.75654	21.0428
PSME1	18.86263	19.08239	17.7995	18.24836	19.04679	17.18998	18.76027	20.18568	20.01018	20.30318	19.42068	20.9979	20.85719	19.14151	20.16091	19.36061	21.78608	20.9402
TUBB3	20.92216	19.59678	21.57034	21.48463	19.11192	19.47231	19.75587	18.34339	16.35104	15.61088	19.02853	20.6231	18.84995	20.2024	20.21939	19.24572	21.16417	20.29098
TOMM20	19.32878	16.85335	15.05213	19.59312	18.99294	19.04465	19.32696	18.73075	17.82146	19.79311	19.65522	20.48217	19.90789	19.74742	19.257	20.14669	19.58014	20.73727
LAMTOR1	19.38047	19.25548	19.02069	18.99339	18.82842	21.75369	19.4777	19.09213	19.03746	18.29934	19.14318	19.19893	17.9063	19.78922	19.49981	19.69834	18.44395	16.81766
SLC25A24	20.00758	16.37888	14.89758	18.63059	18.1203	15.72677	20.14308	20.3581	20.28805	19.55133	18.9414	18.82867	20.91086	16.43327	19.84141	19.37163	20.08369	19.10201
CHMP1B	17.17582	17.41435	16.97337	16.8964	17.77918	15.8603	16.8516	17.26746	18.12687	18.49981	15.8751	16.77777	19.2466	17.36333	17.70036	17.3243	16.89344	18.44257
EFHD2	19.04548	19.61603	19.03631	16.96179	17.85842	15.73293	20.01509	18.87111	18.89977	21.25523	20.57478	20.92709	20.7944	20.56811	21.64403	20.1858	19.82501	20.23538
DCPS	18.8776	21.01216	19.09259	19.97393	16.39917	16.49307	20.33908	19.81519	19.58699	20.65009	17.34886	20.41566	19.76455	19.92061	19.12462	19.97309	17.98421	20.8326
ESYT1	17.19027	16.48664	19.16756	20.17792	19.42197	19.3638	15.76585	19.11581	16.23899	16.95128	19.5323	19.16891	16.55742	15.78006	17.50752	20.47783	20.60177	18.05266
SLIRP	16.83051	15.0341	16.79534	19.48917	20.25234	19.90507	19.5755	20.31937	19.65678	19.53117	20.60648	20.78732	20.13383	20.51749	20.07352	20.73909	20.20383	21.47541
VTA1	15.79302	19.45324	15.78927	17.95821	16.01099	17.22935	19.27214	16.64453	18.23412	17.4586	18.07358	18.54113	17.65382	18.94527	18.74741	18.89965	18.5367	17.09208
LIN7C	19.05351	16.5866	18.42878	19.10896	18.91374	16.41815	19.67883	19.15813	19.34037	16.40633	18.30701	18.59204	19.1513	18.79036	18.17177	18.98926	18.32113	19.23965
TLN1	19.62867	17.09772	17.50316	22.10805	19.07245	18.17587	17.44709	19.13939	17.66473	18.257	18.1207	20.51143	19.50298	16.57146	20.71129	21.47437	22.24461	19.77533
MFAP4	20.01045	20.2876	19.29215	19.38275	19.03074	20.62489	19.45545	18.64755	20.77925	17.18053	16.10192	17.4645	20.23257	16.62438	16.4723	16.39786	16.82955	15.53984
EWSR1	16.16224	16.62785	20.38132	19.45878	21.83353	17.11232	19.79352	19.97561	19.89408	19.6335	17.97746	21.98537	20.6536	20.46483	17.22855	19.58162	20.96656	21.20866
PGD	19.74821	16.19531	19.44158	20.44849	20.51316	18.14056	19.95234	21.27008	20.22364	17.17875	20.59003	21.09719	20.32542	20.48591	19.83433	20.32619	21.77471	20.80798
TCEB2	19.78322	16.09263	17.11276	18.58086	18.90859	19.96888	18.85839	20.0212	17.19439	19.91697	20.2175	20.75792	20.53488	20.79598	20.05748	20.24598	20.50261	20.52755
PRRC2A	21.36383	20.93106	20.4868	20.37518	21.02608	21.49829	21.59573	20.82361	21.45899	21.18398	16.90366	21.83414	21.21951	21.84502	21.73115	21.51965	21.28269	20.80081
ETHE1	16.86075	17.13827	19.14805	20.41152	19.55749	16.92529	18.97121	20.09378	19.001	19.43819	19.28406	19.17089	19.58507	19.30013	19.17246	19.32654	19.09233	18.42759
AK1	19.59602	19.73402	23.83316	20.09841	20.01318	20.77145	19.60827	20.16079	19.89141	15.48341	19.40258	17.82408	19.57587	18.12288	18.62963	17.92926	18.23711	20.07209
PRKAR1A	17.3586	16.66533	19.66324	19.68308	19.9292	19.35574	18.55457	18.81375	19.76072	18.93894	20.01876	21.25517	16.3304	19.20762	20.53801	20.3672	20.17146	21.28048
CALR	19.34624	16.77558	20.0713	21.39801	20.08369	16.96071	19.51547	20.43431	19.7893	20.55946	21.25937	22.21659	20.2867	21.82108	21.276	21.76231	22.50196	21.69672
ECHS1	19.23883	15.54116	19.47108	20.07966	18.77472	17.70956	19.03909	18.8399	15.67764	16.05841	19.78368	19.47955	20.77507	19.20963	19.50267	20.16226	20.06355	20.01903
YWHAB	18.43229	20.45964	17.82755	15.55092	18.32501	14.7334	21.27855	20.54482	20.29491	20.88896	18.45615	20.52927	21.24656	19.69904	18.53442	18.74685	16.24001	19.58985
SERPINB6	20.75426	16.75099	19.95716	20.72634	21.63635	17.18301	17.67845	21.55721	17.24463	17.70887	19.56454	20.25246	19.5457	19.75687	16.04024	21.15004	20.30084	20.12855
CCT6A	19.11548	18.74373	17.45466	21.30313	18.47152	15.95811	18.7438	21.54731	19.4401	18.71193	21.17834	22.2191	21.24528	21.31921	21.68586	21.11458	23.25551	21.68727
STAT1	17.10503	16.92809	17.66678	18.91254	19.11693	16.52675	15.62599	21.03624	17.40758	20.97071	21.48969	23.20243	20.39341	21.7854	23.31769	21.88118	23.21413	20.57616
RPS27	17.6548	16.09279	20.07887	20.38079	19.75726	20.33767	16.70363	19.59556	17.52627	17.88837	18.24456	19.3055	19.47868	17.2379	16.86121	20.05192	19.17502	19.22769
RAB7A	19.68454	16.52276	20.83159	20.29098	21.03812	19.96578	16.37432	20.70185	20.3641	18.87718	20.30853	20.87882	19.39693	19.13541	19.96409	20.94592	20.44779	18.54762
MYOM2	20.58729	16.57696	24.182	16.92986	20.70498	20.70075	20.29726	21.11978	20.57607	16.11734	20.53915	17.19191	19.53199	16.81838	19.62017	20.25084	15.54619	17.83914
PrLZ	17.80228	18.79848	18.89202	19.59252	19.58972	19.03802	19.18529	22.62854	20.19376	21.51099	19.74973	20.19316	20.61693	20.62676	18.29764	20.3014	21.18767	21.29457
ARHGAP1	19.16996	17.62086	19.42031	20.31661	19.88032	14.92382	14.38208	20.14942	19.2553	18.01835	20.2764	20.52392	18.35359	20.2627	16.68776	20.09751	19.72172	19.13192
DAZAP1	18.4025	20.05669	19.06755	19.38157	19.36085	19.09073	20.95376	18.65141	18.908	20.21157	18.44714	20.09636	16.1762	19.33272	15.38125	17.31946	18.82025	19.42171
CLIC4	16.67029	16.24333	18.46471	19.73788	17.63807	19.19753	17.65319	18.73975	16.9797	17.87951	18.36402	18.94278	19.77327	18.18418	18.0616	18.83381	21.42255	20.37857
VARS	19.04412	20.34289	19.80615	20.4914	20.04873	20.20156	16.68968	19.5693	20.31904	20.8903	20.42204	20.5382	19.76414	19.91031	20.18302	20.77796	20.77298	20.05258
SCRN1	17.62164	19.74034	16.60766	18.07947	17.99485	16.82603	19.17421	17.45812	16.24631	19.42483	17.02085	18.79224	20.37039	18.82327	19.052	18.03848	18.62192	19.63343
TRIM62	20.83723	19.94835	20.03819	20.06697	19.89242	21.06835	17.93859	18.73529	19.67197	21.58394	22.15524	22.38737	21.66349	21.07927	20.6054	19.34095	17.79417	22.07878
CCDC150	18.8161	19.30189	18.28102	18.97264	19.36252	16.67894	18.92413	19.40906	19.60228	21.87778	16.13614	20.8278	22.65458	18.01629	18.06503	19.52522	18.70256	22.34072
ASNA1	18.98738	16.9456	14.99468	19.41582	19.17212	16.45104	16.58241	18.39041	16.92635	17.56696	18.44407	18.95154	18.12535	19.57099	19.02432	19.59923	16.90082	17.72933
CRYAB	22.95102	23.62109	26.81946	16.31357	24.22883	24.06513	24.00462	22.55523	19.8315	24.1141	23.94306	19.58125	21.46189	19.98134	21.8823	21.86514	21.04833	22.25557
ZNF607	19.45073	19.23944	18.78494	18.97012	19.98301	19.7437	18.10303	19.19902	19.4923	20.25165	19.25721	19.50895	19.53879	19.07945	20.16693	19.81594	19.02169	19.89472
ETFA	16.54577	16.40952	20.00785	19.63795	19.93073	16.88346	16.20987	20.00168	20.0559	16.91216	20.60123	20.14681	19.72542	20.60775	18.7742	19.3113	18.93787	19.52619
HAGH	18.38667	18.84024	18.28843	16.5171	17.58292	17.13465	17.56384	19.37186	19.19082	19.76896	17.99777	17.36888	20.01291	18.21892	18.41489	17.50518	17.42456	19.0052
MYO1C	18.58248	20.64614	20.33767	19.69746	20.99203	20.93222	18.47005	18.68538	19.37095	16.35394	20.12263	19.27819	19.49504	16.89466	16.57544	19.63338	20.40083	17.22009
ARPC2	19.88527	20.00963	19.01955	19.80051	19.8668	17.01851	21.18271	20.46931	22.22347	21.75009	21.5015	21.18689	21.04813	20.8456	20.94735	20.54661	19.90385	20.65753
PHGDH	20.59541	20.49473	21.67969	20.48738	20.10444	16.51056	20.99113	20.46014	17.0071	19.75926	21.70104	24.4095	20.16251	22.77521	20.39937	22.10457	21.0283	21.85445
NDUFA2	19.6801	20.01998	16.35254	17.20679	19.18466	19.25479	19.87413	19.17094	20.07549	19.57609	19.84344	20.01509	20.38501	20.1327	20.23175	19.7893	18.81781	20.66605
ATP5L	17.6492	16.26493	15.83568	19.30628	19.64767	18.62706	16.57178	21.64693	19.16307	18.21404	20.35316	19.39255	19.86271	16.82687	20.01835	20.44213	20.21407	18.72497
PRPF6	19.77029	17.18787	19.7856	21.18513	20.55272	19.7708	16.58513	20.48729	15.62293	19.86203	20.3443	20.37994	20.14892	19.74236	19.72391	20.13082	19.37095	19.02288
GPX1	21.22182	16.40307	19.60295	20.43512	20.66258	19.83892	19.72112	21.16515	15.73224	20.04113	20.41813	21.53198	20.87545	21.28709	21.65639	20.82927	20.96635	18.40985
ADH5	19.34174	19.58176	17.30022	18.39456	19.62715	17.23262	19.69362	19.78065	19.69401	19.80956	20.22635	20.15573	20.041	19.00977	19.24894	20.0494	19.1802	20.00237
ATP5D	20.65814	20.26774	21.90866	20.65674	21.12086	21.3858	20.8101	21.37406	20.7054	20.69982	18.16776	17.50422	20.87192	20.74673	20.30797	20.87147	19.85704	20.44738
ATP6V1E1	17.78223	20.58049	19.21416	20.47764	16.84613	16.62362	20.11997	20.39456	19.6369	19.46096	20.338	19.10152	18.82619	20.06855	20.80751	20.14731	19.74872	20.75597
SERPINF1	21.4443	21.01488	21.47274	20.66562	19.62173	20.667	21.4865	18.5082	17.50199	19.43913	20.01686	19.80653	19.93316	21.1606	17.49264	17.25516	18.94072	19.48552
ACAA2	18.21205	16.5022	18.28713	19.99203	18.30546	18.59419	18.44407	18.17304	18.34035	18.41662	20.23725	19.98954	19.40466	19.91054	19.32632	18.89974	17.76643	18.70033
CRK	18.50308	16.45685	18.93962	18.51964	19.00698	19.68726	19.43852	18.25377	19.13001	19.39289	16.64532	18.96978	19.60386	19.54026	19.07997	18.81547	22.4533	16.12671
CCT5	19.23409	15.22929	16.04055	20.42726	17.38389	15.9793	19.98384	19.814	20.30073	19.74435	20.34657	21.44859	20.50436	21.06454	21.18985	20.5976	23.73014	20.48198
ALDH7A1	19.7839	15.95094	17.61649	21.75352	19.13839	17.36348	21.83696	20.82244	20.59159	17.8036	19.33119	21.0426	20.96642	16.65593	15.48507	21.08596	19.5344	20.75107
RAB1A	18.00031	17.53534	17.36965	18.86867	18.59076	16.98737	17.36265	19.20101	16.67651	18.43624	17.76617	18.41625	18.24957	21.00265	18.29158	19.91465	20.5285	19.92021
CRYZ	18.44896	18.3433	18.03058	20.63777	19.66386	16.57503	17.55045	21.29664	16.76255	15.82327	17.45836	18.49103	18.8229	16.40098	16.74798	17.97449	19.00215	18.48864
PMVK	19.4389	17.23486	18.84417	19.18117	20.3595	20.08641	19.61685	18.90486	18.97536	16.67827	17.12877	19.31959	16.16884	18.39318	18.3043	19.97533	18.91295	16.1745
UBR4	18.94286	15.76372	19.99065	20.31871	20.08732	19.7995	17.5215	20.00003	16.43675	16.09558	19.42169	20.0961	19.3914	18.97914	19.72785	20.53479	19.87818	18.5009
ASPN	23.29726	21.5372	21.03698	19.00966	19.2887	22.09113	23.12345	19.45433	19.92956	20.23175	19.28231	16.66022	20.99507	20.53858	15.81558	16.79768	16.21212	20.16276
DCTPP1	21.19748	19.34466	20.53687	18.11319	21.59377	20.63759	20.07588	21.72837	19.32505	19.80755	18.00963	21.5751	19.71512	19.64312	18.49564	18.22015	20.24156	19.51966
HEBP1	16.45506	18.87846	18.98061	16.73997	18.83411	17.85932	19.20872	21.50159	19.99009	16.21462	18.56361	17.46404	19.49781	16.75656	17.54894	18.5897	19.05304	16.46758
RAB21	17.74222	16.73613	17.42865	18.9975	18.44196	16.8968	17.22232	18.42284	18.78398	18.75356	16.08728	17.49709	17.61388	17.37958	17.83707	18.07556	17.83424	19.89227
GSTK1	21.11946	16.71297	21.06894	21.21626	21.36837	19.08965	19.56223	21.1925	20.36528	19.61178	21.5966	21.57999	20.00237	20.16779	19.88828	19.98663	21.34684	18.45
PEA15	20.97841	16.98805	19.89791	15.52571	21.02756	15.91202	19.9146	18.27381	15.65525	16.29332	19.54817	19.7198	16.25605	19.49042	18.21864	20.8016	17.66249	18.47275
PTRF	18.02134	22.82654	20.47447	16.26396	20.63989	20.07483	20.11858	18.9933	17.65078	16.6523	21.34652	16.86819	18.60089	18.47469	17.7761	16.05426	18.40711	17.77796
XRN2	19.12858	19.61418	16.00061	20.10252	18.83325	16.59068	18.75084	18.09692	18.32895	20.37772	16.76262	19.8397	20.53041	19.16133	18.02713	17.89664	18.51206	20.41018
UQCRB	19.70799	16.5969	19.87094	17.95407	19.79776	16.70806	18.34854	20.35724	18.84399	19.19713	19.66536	20.2105	19.8302	17.6877	18.42366	19.5895	19.6055	19.48819
DECR1	20.89652	15.58704	21.10732	16.86372	21.08336	16.55696	14.962	21.93352	19.68779	20.27583	21.69285	20.63041	21.48841	17.25572	20.99631	21.67016	21.57976	21.37151
TTN	19.27326	19.97645	21.52617	19.48825	19.88374	20.0486	20.05762	19.7825	19.82876	21.2052	20.58545	19.82851	20.06447	19.54996	20.12818	19.76827	18.66584	19.91695
PPT1	19.73559	16.4588	20.1614	19.21656	19.81605	18.37297	20.57034	22.56672	19.52014	20.30408	16.48431	20.05563	20.89164	19.28005	19.97519	19.9379	19.71319	19.98078
NDUFS8	17.46762	18.88869	17.64545	18.31937	20.38785	17.26864	19.39759	19.41722	18.19427	16.38649	19.47219	18.60632	18.97729	18.43469	18.62781	19.0322	17.48093	18.75516
DHX15	16.71872	17.77917	18.70927	19.97715	19.99466	20.1342	19.87518	19.87716	20.2018	20.10098	18.63339	19.88023	20.38795	20.1561	19.95106	20.08965	19.64667	20.28387
STX7	18.04841	20.07235	17.28316	19.45268	17.38541	17.18269	19.05081	18.89688	15.74094	19.61734	19.11837	19.97379	19.26229	19.76583	19.68296	18.50897	18.70769	19.32094
CHMP2A	19.07316	16.40209	19.15837	18.96056	18.2082	17.61794	18.86556	19.62085	15.18679	17.00383	18.61115	19.40091	19.40045	19.54719	18.66713	18.97835	17.83972	16.47166
ATP5H	16.83725	19.50374	19.69149	18.44411	19.1106	14.71484	19.10687	19.70823	19.39697	18.16781	20.15672	18.94958	17.93641	18.12712	17.00176	20.381	19.74087	17.4025
GUSB	22.20619	16.64352	19.445	18.48542	22.64647	19.60679	21.06723	19.93876	24.88516	18.36692	22.35143	18.91803	19.81126	15.72441	17.43758	19.02204	18.74435	19.12835
CLTA	19.23058	21.49263	19.75498	20.59823	19.91646	19.99824	18.4246	19.41059	16.56248	19.08884	18.22694	17.70921	19.73228	18.10631	19.40016	19.65686	18.25613	19.85807
PYGB	19.19436	21.20275	18.74176	19.30387	16.63984	15.48305	19.29152	19.67399	20.3829	20.45322	17.84279	18.53344	19.00555	18.56156	19.02012	19.42649	17.83294	19.42712
ACADM	19.87437	21.45679	20.06723	20.22176	19.61067	16.66014	20.68303	20.74952	21.1475	20.09275	21.23515	20.2454	20.97568	15.89264	21.15777	21.66032	21.36602	19.877
PCNA	19.9099	19.49847	19.27506	18.82258	20.60205	16.74796	19.70278	19.79049	20.38795	20.32125	18.87799	20.29289	20.12288	20.6677	21.25569	21.13546	19.74501	21.40546
GLUL	21.62082	17.87207	22.12405	19.26169	22.8481	20.57838	19.27381	21.39446	21.18126	16.23894	19.02223	19.96169	23.42342	15.62237	20.04966	19.21167	19.74457	19.72027
GSTM3	17.94089	16.39236	21.35375	19.4403	21.32641	16.96596	21.16968	18.21314	19.8747	17.67445	16.51425	15.86538	22.04487	17.51584	17.72601	18.39929	18.32105	18.71264
MAPK3	19.61899	16.98825	19.78387	19.08171	20.00333	19.8199	16.16463	20.22164	20.16042	15.97952	18.64639	19.68173	21.10942	18.60197	18.44431	18.02042	17.48809	19.88657
ERP29	18.78309	20.38701	16.32079	19.3833	18.06508	18.70981	17.28982	18.71997	19.60749	18.93139	19.60773	19.56828	18.56112	19.44815	19.9125	19.32549	20.41266	18.31305
DDOST	19.39046	21.01944	19.15326	19.7673	18.65274	19.54187	19.27594	19.08444	19.56898	20.43023	21.53929	19.9522	19.68487	18.63247	19.81524	20.83569	18.9514	20.32696
GSS	19.55523	16.81996	16.17383	18.54015	21.10252	16.72844	21.39477	20.79416	20.31396	19.45543	20.02756	20.13784	21.35955	20.39947	20.17913	20.12174	20.27719	20.5945
FSCN1	20.52974	20.19304	17.97477	21.37767	20.20681	18.02834	19.90057	19.30193	16.29508	19.3997	20.08732	20.52306	20.57957	20.3103	21.30925	21.66666	20.73165	21.15431
PALLD	21.43777	21.46558	20.86891	21.34147	19.90578	20.48139	21.19135	19.31829	20.34798	18.09347	20.07979	18.90806	20.03684	20.55497	19.42302	18.7179	19.76528	20.35046
TAF15	18.8339	19.62185	19.48444	16.9727	19.42912	15.95856	19.21191	18.36756	19.98815	20.13921	17.39945	20.3405	19.59365	19.8231	19.22055	18.54442	20.23526	20.77
C19orf10	19.30412	16.69718	19.54568	18.99676	20.55684	19.76179	19.59954	18.79367	19.20082	19.87806	21.23789	20.8137	17.65681	20.40114	21.62694	20.55544	20.52507	20.22741
ISOC1	18.23692	15.70281	19.85172	19.72574	19.30928	17.06176	17.95083	18.84095	18.87457	16.93871	14.81465	19.71371	19.65899	19.37829	16.71975	17.17781	19.47939	18.46738
BTF3L4	18.40412	19.91813	19.85393	18.90292	19.35242	16.12465	19.02126	19.36102	19.39136	20.87718	19.94349	19.69456	19.89976	20.93848	20.22482	19.30454	19.19143	20.98405
TUBB6	19.89289	21.37289	19.94149	21.08154	19.74261	19.61838	20.49228	17.10084	20.00566	15.68707	20.14021	20.50417	19.66834	20.43787	19.62585	19.0125	21.97257	17.44625
MRI1	19.09682	19.86122	16.10082	19.8583	21.53298	19.82135	19.37666	20.62721	19.03955	18.86166	20.12692	19.65456	19.66312	18.79804	18.98011	18.85261	18.6534	19.77734
PHPT1	21.09197	21.27082	16.98589	21.77575	20.06986	21.57247	21.76243	16.32053	19.1488	19.32963	20.03403	19.86467	20.69328	20.76052	20.27821	16.74057	18.79427	21.06105
RUVBL2	16.13275	17.12563	15.88385	21.12843	21.26922	19.80543	20.21549	20.76263	20.45131	21.09242	20.15845	21.38837	20.93258	21.43324	20.24737	20.701	21.95575	20.71011
