Gene	ER	ER.1	ER.2	ER.3	TNBC	ER.4	TNBC.1	ER.5	ER.6	ER.7	ER.8	ER.9	TNBC.2	ER.10	ER.11	TNBC.3	ER.12	ER.13	ER.14	ER.15	TNBC.4	ER.16	ER.17	ER.18	ER.19	TNBC.5	ER.20
APRT	0.725245554	0.259159827	-0.094300786	0.411371629	0.396566853	0.571628821	0.130827527	-0.038518794	0.150009872	1.261305008	-0.391631331	1.037745164	0.423189515	0.961611507	-0.326744495	0.349481431	0.159699644	-0.146710384	-0.293266891	0.975495774	0.621475815	0.160820548	0.038430015	0.037550681	1.344955877	0.275242484	-0.368329836
APTX	0.557689704	-0.053809212	0.208802391	0.117504153	0.168770183	0.098930571	0.608461295	0.027878408	0.111083031	0.923616485	0.010648918	0.211759524	-0.310238797	0.378499687	-0.023047944	-0.280822992	0.231293341	-0.188689814	0.236618352	0.425690758	0.417971527	0.057434655	0.123709371	-0.290587993	0.486836039	0.383207316	0.099411252
AQR	0.23981404	0.077695303	0.050521216	-0.32671107	-0.087910662	-0.198172536	0.191657354	-0.147034455	0.150652438	0.210159175	0.015782787	0.381881396	-0.056713463	-0.090038089	0.119318387	-0.133259143	0.215897634	-0.060891339	-0.119035986	-0.286832284	0.093197831	0.234135655	-0.216246501	0.213988306	0.125993408	0.058003333	-0.240517751
AR	0.572537829	0.052626864	0.605752762	0.186262686	-0.955733456	0.195061864	-1.169722963	-0.010252065	0.559007842	-0.604859812	-0.285645033	-0.892857269	-0.138466847	-0.184400684	-0.114955427	-0.065970371	0.282158855	-0.500031043	0.388303577	-0.587111799	-1.047912829	-0.03897924	0.033807379	-0.919175527	-0.769341258	-0.799249472	0.018499671
ARAF	0.24018432	0.123532792	0.259468334	-0.124763635	-0.090853307	0.194529834	-0.282190645	0.039417619	0.020158583	-0.4184796	0.143276682	-0.280091334	0.019800569	-0.357523376	-0.030147834	0.016309915	0.396142025	0.112105988	-0.108166339	-0.184671353	0.055206616	0.055340117	0.068464494	0.026167482	0.266029956	0.03163814	0.017021595
ARAP1	0.311479635	0.163427394	0.098949336	0.000343725	-0.077598479	-0.01215054	-0.46384784	0.309376329	0.110544495	0.862409602	0.079729944	0.876163628	0.060329175	1.062922008	-0.069946762	0.042665209	-0.249397663	0.428535081	0.422900422	0.873604257	0.496222087	0.039451873	0.206988533	0.327250509	0.915635394	0.282301321	0.097089212
ARAP2	0.588023074	-0.108033237	0.241938495	0.401043903	0.013559477	-0.176074414	0.448861227	0.791190499	0.046309835	NA	-0.930520367	0.105212401	0.394884142	NA	-0.128230022	0.406044737	NA	-0.208252182	0.261957705	NA	0.134625624	-0.404213027	0.15024948	-0.254120408	0.302250752	-0.00117976	0.077777795
ARAP3	0.187719296	-0.152485918	-0.213921952	0.207538876	0.553500885	0.169587481	0.198218633	0.451170638	0.114856154	1.328200141	-0.338054958	1.411875072	0.132760383	0.922808962	0.046506823	0.147674104	-0.584687968	-0.451777872	0.014834498	NA	0.024639222	0.356561821	0.368512829	0.333908031	-0.303579877	0.398859699	0.39658106
ARCN1	-0.37458553	-0.011256622	0.19043432	0.324236976	0.123041189	0.439221458	-0.366278762	-0.029460824	-0.121683034	-0.458462917	0.18385623	-0.446854831	0.260299307	-0.117738537	-0.011725845	0.225728843	-0.013908116	-0.135664731	0.093628822	-0.445174141	-0.152549215	-0.076535477	0.293669857	0.052292346	-0.691941446	-0.258474843	-0.271157723
ARF1	0.550530331	-0.18742508	-0.654450611	-0.795651305	-0.826027549	-0.873327777	-0.751532102	-0.726551875	-0.792690486	1.608835758	-0.248984917	1.215581059	0.106609894	0.395589266	-0.204593106	0.087735277	-0.446571251	-0.392775938	-0.649828451	1.016738517	-0.31888169	-0.363345944	-0.492614809	-0.232111355	0.700414777	-0.567935256	-0.512198464
