"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"61","APOE_HUMAN;CON__Q03247","AR_vs_STA",-1.08548525569149,0.692033728904334,-1.56854385899671,10,0.147825600002533,0.383371885720855,NA,0.553921568627451,0.436274509803922
"62","APOF_HUMAN","AR_vs_STA",0.534442697943691,0.840873809915496,0.635580144894037,5,0.552997185064931,0.734562864964299,NA,0.722222222222222,0.111111111111111
"63","APOH_HUMAN;CON__P17690","AR_vs_STA",-0.56633180070954,0.540676873173543,-1.04744964841092,10,0.319548918100997,0.533351278608821,NA,0.551851851851852,0.32962962962963
"64","APOM_HUMAN","AR_vs_STA",-0.00838360802434399,0.512584043113743,-0.0163555774647547,5,0.987583291055962,0.993194559755144,NA,0.866666666666667,0.1
"65","ARK73_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.833333333333333,0
"66","ARSA_HUMAN","AR_vs_STA",-0.730328070262382,0.478319714189681,-1.52686173828237,9,0.161140952083683,0.396138173872386,NA,0.656862745098039,0.142156862745098
"67","ARSB_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.888888888888889,0
"68","ASAH1_HUMAN","AR_vs_STA",-0.942820948099808,0.503088149136587,-1.8740670988134,7,0.103060299009844,0.317246485647694,NA,0.818181818181818,0.159090909090909
"69","ASGR2_HUMAN","AR_vs_STA",-0.343861404374974,0.0681348522216313,-5.04677698949798,2,0.0370912865603303,0.212337631705055,NA,0.946969696969697,0.0378787878787879
"70","ASSY_HUMAN","AR_vs_STA",-0.192115135337423,0.160624994262686,-1.19604757789587,5,0.285298525892246,0.502466060526643,NA,0.888888888888889,0.0833333333333333
"71","ATL4_HUMAN","AR_vs_STA",-1.00201972415555,0.345235310024549,-2.90242537498352,7,0.0229065615118715,0.183021957307724,NA,0.458333333333333,0.208333333333333
"72","ATNG_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"73","ATPB_HUMAN","AR_vs_STA",1.84008537580626,1.09028804346638,1.68770572770478,4,0.166740896944297,0.404289572043021,NA,0.541666666666667,0.0416666666666667
